,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,204,48.0,0.6190476165910809,0.29336437684125216,23.253164556962027,0.11703864997278171,9.348081282773924,23.253164556962027,215.0,1169.0,2.0,2.0,5.7061668681983075
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,73,22.0,0.5368420996121884,0.33807829061182104,27.0,0.1712962962962963,10.86851851851852,27.0,111.0,375.0,2.0,3.0,5.533333333333333
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,71,44.0,0.2347826066540643,0.20572450768206707,17.666666666666668,0.12715340442986053,7.117528028438612,17.666666666666668,155.0,764.0,2.0,3.0,5.477941176470588
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,123,47.0,0.447058820899654,0.25679758269365927,22.949152542372882,0.1358936484490399,9.23401847632877,22.949152542372882,184.0,878.0,2.0,7.0,5.627773212818406
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,123,47.0,0.447058820899654,0.25679758269365927,22.949152542372882,0.1358936484490399,9.23401847632877,22.949152542372882,184.0,878.0,2.0,7.0,5.627773212818406
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,105,65.0,0.23529411626297578,0.2764227637781744,20.171875,0.16498838109992253,8.13474535243997,20.171875,213.0,826.0,2.0,4.0,5.617058311575283
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,96,28.0,0.548387092351717,0.21527777740403164,27.227272727272727,0.16026711185308848,10.955015935650326,27.227272727272727,192.0,777.0,2.0,1.0,5.732313575525812
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,135,75.0,0.2857142843537415,0.23972602712360042,20.606382978723403,0.14248838409912234,8.29954854512901,20.606382978723403,276.0,1161.0,2.0,5.0,5.46037296037296
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,32,19.0,0.2549019557862362,0.2286995505439482,22.40740740740741,0.08760330578512397,8.998004285277013,22.40740740740741,53.0,330.0,2.0,1.0,5.239252336448598
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,65,73.0,-0.05797101407267381,0.25508317882609394,23.551020408163264,0.17677642980935876,9.49111873518905,23.551020408163264,204.0,742.0,2.0,4.0,5.717391304347826
